DESCRIPTION,CATEGORY,U/PRICE
"OIL SEAL FW MAXI = SORENTO, NAZA RIA RW (OUTER)",Seals & Gaskets,10.00
OIL SEAL FW YU41,Seals & Gaskets,15.00
LOWER ARM BUSH FRT MAXI,Suspension & Mountings,35.00
UPPER ARM BUSH MAXI (B),Suspension & Mountings,22.00
UPPER ARM BUSH FRT MAXI (S),Suspension & Mountings,20.00
FAN BELT 13X890,Belts & Timing,16.00
DRAG LINK YU41,Uncategorized,160.00
OIL SEAL PINION LN106,Seals & Gaskets,18.00
"WATER PUMP VIOS NCP42, NCP93, NCP150 1NZ",Cooling System,70.00
"ATF OIL HONDA ATF DW-1 1 LITRE *SWA, TMO, SNA, SNL, S5A, TAO,TRO,TOA",Engine Oils & Fluids,32.00
OIL SEAL G.BOX KBR (RR),Seals & Gaskets,15.00
"AIR FILTER KBR 1.3, AVANZA 1.3",Filters,15.00
"BY PASS JOINT AVANZA, KBR DVVT (IRON)",Suspension & Mountings,30.00
BRAKE FLUID DOT 4 (BIG),Engine Oils & Fluids,15.00
WASHER 16MM (ALM),Miscellaneous,1.00
GEAR OIL HONCHI EP90 1 LITRE,Engine Oils & Fluids,15.00
FAN BELT 9.5X715,Belts & Timing,11.00
"MAIN FUSE 30A (HONDA,WAJA)",Uncategorized,6.00
GUM W/S SEALANT,Seals & Gaskets,25.00
ABS MTG FRT ALZA,Brake Components,45.00
ATF OIL HONCHI DEXTRON III 1 LITRE,Engine Oils & Fluids,15.00
ENG OIL CASTROL GTX 20W50 4 LITRES,Engine Oils & Fluids,65.00
ENG OIL LUBRIMAXX PERFORMAX 15W40 CH4/SL 7 LITRES,Engine Oils & Fluids,110.00
"STG RACK BUSH RH P/SG, WIRA, WAJA",Suspension & Mountings,6.00
"STG RACK BUSH LH WIRA, WAJA",Suspension & Mountings,6.00
SILICONE HI-TEMP GREY,Uncategorized,14.00
STICKER PVC,Exterior & Accessories,2.00
"THERMOSTAT GEN 2, PERSONA, NEO, EXORA, BLM",Cooling System,40.00
ENG OIL PERODUA 10W30 3 LITRES,Engine Oils & Fluids,65.00
ENG OIL LUBRIMAXX MULTIVALVE 15W40 SL/CF 4 LITRES,Engine Oils & Fluids,75.00
OIL FILTER KANCIL,Filters,6.00
OIL FILTER WIRA,Filters,6.00
FAN BELT KANCIL ALT 9.5X775,Belts & Timing,10.00
"OIL SEAL FLY KANCIL, KLS, KNR, VIVA 850, MYVI 1.0 (VITON)",Seals & Gaskets,22.00
