CUSTOMER NAME,DESCRIPTION,QTY
Customer_CS-M2401/00002,"OIL SEAL FW MAXI = SORENTO, NAZA RIA RW (OUTER)",1
Customer_CS-M2401/00002,OIL SEAL FW YU41,2
Customer_CS-M2401/00002,LOWER ARM BUSH FRT MAXI,2
Customer_CS-M2401/00002,UPPER ARM BUSH MAXI (B),2
Customer_CS-M2401/00002,UPPER ARM BUSH FRT MAXI (S),2
Customer_CS-M2401/00002,FAN BELT 13X890,1
Customer_CS-M2401/00002,DRAG LINK YU41,1
Customer_CS-M2401/00002,OIL SEAL PINION LN106,1
CASH L,"WATER PUMP VIOS NCP42, NCP93, NCP150 1NZ",1
CASH L,"ATF OIL HONDA ATF DW-1 1 LITRE *SWA, TMO, SNA, SNL, S5A, TAO,TRO,TOA",3
Customer_CS-M2401/00004,OIL SEAL G.BOX KBR (RR),1
Customer_CS-M2401/00004,"AIR FILTER KBR 1.3, AVANZA 1.3",1
Customer_CS-M2401/00004,"BY PASS JOINT AVANZA, KBR DVVT (IRON)",1
Customer_CS-M2401/00004,BRAKE FLUID DOT 4 (BIG),1
Customer_CS-M2401/00004,WASHER 16MM (ALM),1
Customer_CS-M2401/00004,GEAR OIL HONCHI EP90 1 LITRE,1
Customer_CS-M2401/00004,FAN BELT 9.5X715,1
Customer_CS-M2401/00004,"MAIN FUSE 30A (HONDA,WAJA)",1
Customer_CS-M2401/00004,GUM W/S SEALANT,2
Customer_CS-M2401/00004,ABS MTG FRT ALZA,2
Customer_CS-M2401/00004,ATF OIL HONCHI DEXTRON III 1 LITRE,1
Customer_CS-M2401/00008,ENG OIL CASTROL GTX 20W50 4 LITRES,1
IJ WORKSHOP (TRANSFER),ENG OIL LUBRIMAXX PERFORMAX 15W40 CH4/SL 7 LITRES,1
IJ WORKSHOP (TRANSFER),"STG RACK BUSH RH P/SG, WIRA, WAJA",1
IJ WORKSHOP (TRANSFER),"STG RACK BUSH LH WIRA, WAJA",1
IJ WORKSHOP (TRANSFER),SILICONE HI-TEMP GREY,1
Customer_CS-M2401/00011,STICKER PVC,1
CASH CARD,"THERMOSTAT GEN 2, PERSONA, NEO, EXORA, BLM",1
Customer_CS-M2401/00014,ENG OIL PERODUA 10W30 3 LITRES,1
Customer_CS-M2401/00014,ENG OIL LUBRIMAXX MULTIVALVE 15W40 SL/CF 4 LITRES,1
Customer_CS-M2401/00014,OIL FILTER KANCIL,2
Customer_CS-M2401/00014,OIL FILTER WIRA,1
FAKHRUL (TRANSFER),FAN BELT KANCIL ALT 9.5X775,1
DIN,"OIL SEAL FLY KANCIL, KLS, KNR, VIVA 850, MYVI 1.0 (VITON)",1
DIN,"OIL SEAL ATM KANCIL, KLS, KNR, VIVA 850, MYVI 1.3, LB 1.3, AVANZA 1.3, KEMBARA",1
DIN,SILICONE HI-TEMP GREY,1
DIN,"D/S BOOT KLS, KNR, VIVA, TMO, AXIA, BEZZA 1.0 (IN)",1
DIN,"AUTO FILTER SET KANCIL, KLS, KNR, VIVA",1
DIN,"WIPER BLADE ALTIS, X-TRAIL, ALZA, EXORA, PREVE, RANGER T6",1
DIN,"DISC PAD FRT VIVA, JUARA, MIT MIRAGE 15`",1
DIN,"OIL SEAL GEAR LEVEL SO4 (ATM), MYVI (ATM)",1
CASH (QR),OIL FILTER WIRA,1
TAMBI TURBO,GEAR OIL HONCHI EP140 1L,4
TAMBI TURBO,"BEARING RW NPR 3.9, HICOM 4.3",2
TAMBI TURBO,"OIL SEAL KIT RW NPR 3.9, HICOM 4.3 (49X100X8 & 80X113X12/22)",2
Customer_CS-M2401/00020,"COOLANT LEXUS, TOYOTA 1 LITRE",1
